6.59 	2.54 	0.00 	0.00 	 0.05 	 0.50
5.12 	2.32 	0.00 	0.00 	 0.08 	 0.50
4.29 	2.47 	0.00 	0.00 	 0.10 	 0.60
3.84 	2.02 	0.00 	0.00 	 0.13 	 0.70
3.30 	1.96 	0.00 	0.00 	 0.15 	 0.80
2.62 	1.83 	0.54 	1.29 	 2.00 	 3.00
4.24 	2.31 	0.86 	1.95 	 3.00 	 4.00
3.02 	2.03 	1.86 	1.58 	 4.00 	 5.00
7.37 	1.08 	1.89 	1.48 	 5.00 	 6.00
10.57 	2.15 	2.00 	1.30 	 5.00 	 6.00
11.40 	2.79 	2.03 	1.25 	 5.00 	 6.00
10.96 	2.72 	1.89 	1.14 	 5.00 	 6.00
0.20 	2.87 	1.91 	1.14 	 6.00 	 7.00
9.08 	3.47 	2.12 	1.47 	 7.00 	 8.00
9.80 	2.85 	2.02 	1.51 	 8.00 	 9.00
9.70 	2.32 	1.88 	1.73 	 9.00 	 10.00
7.72 	1.84 	1.54 	1.65 	 10.00 	 11.00
6.86 	1.98 	0.00 	0.00 	 9.00	 10.00
8.22 	2.08 	0.00 	0.00 	 8.00 	 9.00
6.92 	1.88 	0.00 	0.00 	 5.00 	 6.00
8.12 	1.20 	0.00 	0.00 	 5.00 	 6.00
7.63 	1.68 	0.00 	0.00 	 3.00 	 4.00
7.04 	1.51 	0.00 	0.00 	 2.00 	 2.50
6.31 	2.01 	0.00 	0.00 	 0.15 	 0.80
